1、您的性别？,2、您的年龄？,3、您是否了解预制菜？,4、平时就餐您更倾向于选择哪种？,5、您上一题选择此答案的原因是,6、您食用开封后就能吃的即食食品的频率？,7、您食用加热后就能吃的即热食品的频率？,8、您食用还需下锅烹饪才能吃的即烹食品的频率？,9、您购买切好清洗好的肉或蔬菜这种即配食品的频率？,10、预制菜作为近年来餐饮行业发展的一种形式，您能接受的价格为多少？,11、您更倾向通过何种方式购买预制菜,12、如果您选择购买预制菜作为您的正餐，会更注重品牌吗？,13、您听说过或购买过哪些预制菜的品牌？,14、针对预制菜的发展，您认为以下哪个问题急需要被改善或者解决？,15、预制菜的未来还需时间的检验，请您就预制菜的发展提出宝贵的意见和建议。
女,26-35岁,不了解,堂食|外卖|打包自提,口味多样,约一个礼拜一次,约一个月一次,约一个礼拜一次,约一个月一次,10-20元|20-30元,电商平台,不会，更注重口味。,正大|西贝,菜品种类问题,无
女,26-35岁,不了解,堂食|外卖|打包自提|买菜做饭|方便面类食物,价格实惠|口味多样|干净卫生|地点上方便|时间上便捷,约一个礼拜一次,约一个礼拜一次,几乎每天,几乎每天,20-30元,生鲜超市|电商平台|堂食门店|熟食店,会，大品牌放心可靠。,知味观|正大|自嗨锅|京东生鲜|海底捞,价格问题|菜品种类问题|食品安全问题|购买配送问题,.
女,18-25岁,不了解,堂食|外卖,价格实惠|口味多样|地点上方便|时间上便捷,约一个礼拜一次,约一个礼拜一次,约一个礼拜一次,约一个礼拜一次,10-20元,生鲜超市,会，大品牌放心可靠。,知味观|正大|自嗨锅,价格问题|菜品种类问题|食品安全问题|购买配送问题,无
男,26-35岁,了解,堂食|外卖|打包自提,口味多样|干净卫生|地点上方便,几乎每天,约一个月一次,约一个礼拜一次,几乎每天,20-30元,电商平台|堂食门店,会，大品牌放心可靠。,知味观|自嗨锅|京东生鲜|海底捞,菜品种类问题|食品安全问题,无
女,18-25岁,了解,打包自提,干净卫生,约一个礼拜一次,约一个礼拜一次,约一个礼拜一次,约一个月一次,10-20元|20-30元,生鲜超市|堂食门店|熟食店,不会，更注重口味。,知味观|正大|海底捞,菜品种类问题|购买配送问题,无聊的很
男,18-25岁,了解,堂食|打包自提|预制菜,价格实惠|口味多样|干净卫生,几乎每天,约一个礼拜一次,约一个礼拜一次,约一个礼拜一次,20-30元,电商平台|堂食门店,会，大品牌放心可靠。,正大|自嗨锅|西贝,价格问题|食品安全问题,方便及时。安全。
男,18岁以下,了解,堂食|外卖|打包自提,价格实惠|口味多样|干净卫生,几乎每天,几乎每天,几乎每天,几乎每天,10-20元|20-30元|30-40元,生鲜超市|电商平台|堂食门店,不会，更注重口味。,知味观|正大|自嗨锅,价格问题|菜品种类问题|食品安全问题,0
女,26-35岁,不了解,打包自提,干净卫生,约一个礼拜一次,约一个礼拜一次,约一个月一次,约一个月一次,20-30元,电商平台,会，大品牌放心可靠。,自嗨锅,菜品种类问题,无
女,18-25岁,不了解,堂食,价格实惠|口味多样|干净卫生,约一个月一次,约一个月一次,约一个月一次,几乎不,10-20元,生鲜超市|电商平台,不会，更注重口味。,正大|自嗨锅,价格问题|菜品种类问题|食品安全问题|购买配送问题,无
男,18-25岁,不了解,堂食,干净卫生,约一个月一次,约一个月一次,约一个月一次,约一个月一次,30-40元,电商平台,会，大品牌放心可靠。,正大,价格问题,无
女,26-35岁,了解,打包自提|预制菜,价格实惠|口味多样,约一个礼拜一次,几乎每天,约一个礼拜一次,几乎每天,10-20元|20-30元,电商平台,会，大品牌放心可靠。,知味观|正大|自嗨锅,价格问题,没有
女,26-35岁,不了解,打包自提,口味多样,约一个月一次,约一个月一次,约一个礼拜一次,约一个礼拜一次,20-30元|30-40元,电商平台|堂食门店,会，大品牌放心可靠。,正大|自嗨锅,菜品种类问题,打造优质品牌，服务四方百姓
女,18-25岁,不了解,堂食|外卖|打包自提,口味多样|干净卫生,约一个月一次,约一个礼拜一次,约一个月一次,约一个礼拜一次,20-30元|30-40元,电商平台,不会，更注重口味。,正大|自嗨锅|西贝,菜品种类问题,没有
女,26-35岁,了解,外卖,口味多样,约一个月一次,约一个月一次,约一个月一次,约一个礼拜一次,20-30元,生鲜超市|堂食门店|熟食店,不会，更注重口味。,自嗨锅|海底捞,价格问题|菜品种类问题|食品安全问题|购买配送问题,保证品质
女,26-35岁,不了解,外卖|打包自提,口味多样|干净卫生,约一个礼拜一次,约一个礼拜一次,约一个礼拜一次,约一个礼拜一次,20-30元,电商平台,会，大品牌放心可靠。,正大|西贝,菜品种类问题|食品安全问题,无
男,26-35岁,了解,外卖|预制菜,口味多样|地点上方便,约一个礼拜一次,约一个礼拜一次,约一个月一次,约一个礼拜一次,20-30元|30-40元,电商平台|堂食门店,会，大品牌放心可靠。,正大|西贝,菜品种类问题|购买配送问题,保证健康安全，营养搭配
女,18岁以下,不了解,堂食|外卖|打包自提|预制菜|买菜做饭|方便面类食物,价格实惠|口味多样|地点上方便|时间上便捷,约一个礼拜一次,约一个月一次,几乎每天,几乎每天,10-20元|20-30元,生鲜超市|电商平台|熟食店,不会，更注重口味。,自嗨锅|京东生鲜|海底捞,食品安全问题|购买配送问题,我认为预制菜应该对于口味和新鲜程度提升一下，因为我曾买过预制菜变质的情况
女,26-35岁,不了解,堂食,口味多样,约一个礼拜一次,几乎每天,几乎每天,约一个礼拜一次,30-40元,生鲜超市,不会，更注重口味。,知味观,菜品种类问题,无
男,26-35岁,了解,外卖|打包自提|买菜做饭,口味多样|干净卫生|地点上方便,约一个礼拜一次,约一个礼拜一次,几乎每天,约一个礼拜一次,10-20元|30-40元,生鲜超市|堂食门店,会，大品牌放心可靠。,知味观|正大|自嗨锅,菜品种类问题|食品安全问题|购买配送问题,无
男,18岁以下,了解,堂食|预制菜,价格实惠|口味多样,几乎每天,几乎每天,几乎每天,几乎每天,20-30元,电商平台,会，大品牌放心可靠。,正大,价格问题,店叔叔给
女,26-35岁,不了解,堂食,价格实惠,约一个月一次,约一个礼拜一次,几乎每天,几乎每天,20-30元,生鲜超市|堂食门店,会，大品牌放心可靠。,正大|海底捞,价格问题|食品安全问题,主要是卫生和质量安全
男,26-35岁,不了解,外卖|方便面类食物,价格实惠|地点上方便,约一个礼拜一次,约一个礼拜一次,约一个月一次,约一个月一次,10-20元|20-30元,生鲜超市|堂食门店,不会，更注重口味。,正大|自嗨锅|京东生鲜,价格问题|菜品种类问题|食品安全问题,没有
女,36-45岁,了解,打包自提|买菜做饭,干净卫生|地点上方便|时间上便捷,几乎每天,几乎每天,几乎每天,约一个月一次,10-20元|40元及以上,生鲜超市|堂食门店|熟食店,不会，更注重口味。,正大|京东生鲜,价格问题|菜品种类问题,无
女,18-25岁,了解,堂食|外卖|打包自提|方便面类食物,口味多样|地点上方便|时间上便捷,约一个礼拜一次,约一个月一次,约一个礼拜一次,约一个月一次,10-20元,电商平台|熟食店,不会，更注重口味。,知味观|正大|自嗨锅|西贝|京东生鲜|海底捞,价格问题|菜品种类问题|食品安全问题|购买配送问题,食品安全很重要
男,26-35岁,不了解,打包自提,口味多样,约一个月一次,约一个月一次,约一个月一次,约一个礼拜一次,20-30元,堂食门店,不会，更注重口味。,正大,菜品种类问题,后悔不后悔
女,18-25岁,不了解,堂食,价格实惠,几乎每天,几乎不,几乎不,几乎不,10-20元,堂食门店,不会，更注重口味。,自嗨锅,食品安全问题,无
男,18-25岁,不了解,堂食|外卖|打包自提|预制菜,价格实惠|口味多样|干净卫生,约一个礼拜一次,约一个礼拜一次,几乎每天,约一个月一次,10-20元|20-30元,电商平台|堂食门店,会，大品牌放心可靠。,正大|自嗨锅|西贝|京东生鲜,菜品种类问题|购买配送问题,无
男,26-35岁,不了解,外卖|打包自提,干净卫生|地点上方便,几乎每天,约一个月一次,约一个礼拜一次,约一个月一次,20-30元,堂食门店,不会，更注重口味。,自嗨锅|西贝,菜品种类问题|食品安全问题,的未来还需时间的检验，请您
女,18-25岁,不了解,堂食|预制菜,地点上方便,几乎每天,约一个月一次,约一个月一次,约一个月一次,40元及以上,生鲜超市|电商平台,不会，更注重口味。,知味观|正大,食品安全问题,0
女,26-35岁,了解,打包自提|预制菜|买菜做饭,口味多样|干净卫生|地点上方便,约一个礼拜一次,约一个礼拜一次,约一个礼拜一次,几乎每天,20-30元|30-40元,电商平台|堂食门店,会，大品牌放心可靠。,知味观|自嗨锅|西贝,菜品种类问题,ok
女,26-35岁,了解,打包自提|预制菜|买菜做饭,价格实惠|干净卫生|时间上便捷,约一个礼拜一次,几乎每天,约一个礼拜一次,几乎每天,20-30元,生鲜超市|电商平台|熟食店,会，大品牌放心可靠。,正大|自嗨锅|京东生鲜,价格问题|菜品种类问题|食品安全问题|购买配送问题,挺好的了加油吧
女,18-25岁,不了解,外卖|打包自提,干净卫生|地点上方便,约一个礼拜一次,约一个礼拜一次,几乎每天,几乎每天,20-30元,电商平台|堂食门店,会，大品牌放心可靠。,正大|自嗨锅,菜品种类问题|食品安全问题,没有呢
男,18-25岁,不了解,打包自提,干净卫生,约一个礼拜一次,几乎每天,约一个礼拜一次,约一个月一次,20-30元,堂食门店,不会，更注重口味。,西贝,购买配送问题,宁国府v计划v
女,26-35岁,了解,外卖|打包自提|买菜做饭,口味多样|地点上方便,约一个月一次,约一个礼拜一次,约一个月一次,约一个礼拜一次,20-30元|30-40元,电商平台|堂食门店,会，大品牌放心可靠。,知味观|自嗨锅|京东生鲜,菜品种类问题|购买配送问题,可以
女,18-25岁,不了解,打包自提|预制菜,口味多样|干净卫生,约一个礼拜一次,约一个礼拜一次,约一个月一次,几乎每天,20-30元,堂食门店,会，大品牌放心可靠。,知味观|正大,菜品种类问题,1
女,26-35岁,了解,打包自提|买菜做饭,干净卫生,约一个礼拜一次,约一个礼拜一次,约一个礼拜一次,约一个礼拜一次,20-30元,电商平台,不会，更注重口味。,自嗨锅|京东生鲜,食品安全问题,无
女,18-25岁,不了解,堂食|打包自提,价格实惠|口味多样,约一个月一次,约一个礼拜一次,几乎每天,约一个礼拜一次,10-20元|20-30元,电商平台|堂食门店,不会，更注重口味。,正大|西贝|海底捞,菜品种类问题|食品安全问题,无
女,18-25岁,不了解,堂食,干净卫生,约一个礼拜一次,约一个月一次,约一个月一次,约一个月一次,20-30元,电商平台,会，大品牌放心可靠。,知味观,菜品种类问题,无
男,26-35岁,了解,堂食|买菜做饭,价格实惠,几乎每天,几乎每天,几乎每天,几乎每天,10-20元|40元及以上,电商平台|熟食店,不会，更注重口味。,知味观|京东生鲜,价格问题|购买配送问题,无
女,45岁以上,了解,外卖,口味多样,几乎每天,几乎不,约一个礼拜一次,约一个礼拜一次,10-20元,堂食门店,会，大品牌放心可靠。,自嗨锅,菜品种类问题,2
女,18-25岁,不了解,堂食,价格实惠,几乎每天,几乎每天,几乎每天,几乎每天,10-20元,生鲜超市,会，大品牌放心可靠。,知味观,价格问题,全方面加强细节
女,18-25岁,不了解,外卖|打包自提,口味多样|干净卫生,约一个礼拜一次,约一个月一次,约一个礼拜一次,约一个礼拜一次,20-30元,堂食门店,会，大品牌放心可靠。,自嗨锅,菜品种类问题,无
男,26-35岁,不了解,外卖,价格实惠,几乎每天,约一个月一次,几乎每天,几乎每天,30-40元,生鲜超市,会，大品牌放心可靠。,知味观,价格问题,健康
女,26-35岁,不了解,堂食,干净卫生,几乎每天,几乎不,几乎每天,约一个月一次,10-20元,生鲜超市,不会，更注重口味。,知味观,价格问题,无
男,18-25岁,了解,外卖|打包自提|预制菜,价格实惠|口味多样|干净卫生,约一个礼拜一次,约一个月一次,约一个月一次,约一个礼拜一次,20-30元,电商平台|堂食门店,会，大品牌放心可靠。,知味观|正大|自嗨锅,价格问题|菜品种类问题,分工会哦
男,26-35岁,不了解,堂食|外卖|打包自提|预制菜,口味多样|干净卫生,约一个礼拜一次,几乎每天,几乎每天,几乎每天,20-30元|30-40元,电商平台|堂食门店,会，大品牌放心可靠。,知味观|正大|自嗨锅,价格问题,无
女,26-35岁,了解,打包自提,干净卫生,约一个礼拜一次,约一个礼拜一次,约一个月一次,约一个月一次,20-30元,生鲜超市,会，大品牌放心可靠。,西贝,菜品种类问题,无
女,18-25岁,不了解,外卖,口味多样,约一个月一次,约一个月一次,约一个月一次,约一个礼拜一次,30-40元,电商平台,不会，更注重口味。,正大,菜品种类问题,无
男,26-35岁,了解,外卖|打包自提,干净卫生|地点上方便,几乎每天,约一个礼拜一次,几乎每天,几乎每天,20-30元,生鲜超市|电商平台,会，大品牌放心可靠。,正大|自嗨锅|西贝,菜品种类问题,不错
女,26-35岁,了解,买菜做饭,干净卫生,约一个月一次,约一个月一次,约一个月一次,约一个月一次,30-40元,堂食门店,不会，更注重口味。,自嗨锅,食品安全问题,无
女,26-35岁,了解,打包自提,干净卫生,约一个月一次,约一个礼拜一次,约一个礼拜一次,约一个礼拜一次,20-30元,堂食门店,会，大品牌放心可靠。,正大,菜品种类问题,好好喝啤酒就不一样
女,18-25岁,了解,外卖|预制菜,口味多样,约一个礼拜一次,约一个礼拜一次,几乎每天,约一个礼拜一次,20-30元,电商平台,会，大品牌放心可靠。,正大|京东生鲜,菜品种类问题|食品安全问题,没有啊啊
女,36-45岁,不了解,买菜做饭,口味多样|干净卫生,约一个月一次,约一个月一次,约一个月一次,约一个礼拜一次,10-20元,生鲜超市,会，大品牌放心可靠。,正大|自嗨锅,价格问题|菜品种类问题,无
女,26-35岁,了解,堂食|预制菜,价格实惠|口味多样|干净卫生|地点上方便,约一个礼拜一次,约一个礼拜一次,约一个礼拜一次,约一个礼拜一次,30-40元,电商平台|堂食门店,会，大品牌放心可靠。,知味观|正大|自嗨锅,菜品种类问题|食品安全问题,无
男,26-35岁,不了解,打包自提|预制菜,干净卫生|地点上方便,约一个礼拜一次,约一个礼拜一次,约一个礼拜一次,约一个月一次,20-30元,电商平台,不会，更注重口味。,自嗨锅,菜品种类问题,还好
女,18-25岁,了解,堂食|买菜做饭,价格实惠|口味多样|干净卫生,约一个礼拜一次,约一个礼拜一次,几乎每天,几乎每天,10-20元,生鲜超市|堂食门店,会，大品牌放心可靠。,正大|自嗨锅,食品安全问题|购买配送问题,无
男,36-45岁,了解,堂食,干净卫生,几乎不,约一个月一次,约一个月一次,约一个月一次,20-30元,生鲜超市|电商平台,会，大品牌放心可靠。,正大|西贝,食品安全问题,质量安全才是根本
女,26-35岁,不了解,打包自提|预制菜|买菜做饭,价格实惠|口味多样|干净卫生,约一个月一次,约一个月一次,约一个月一次,约一个礼拜一次,20-30元,生鲜超市|电商平台,会，大品牌放心可靠。,正大|自嗨锅|海底捞,菜品种类问题|食品安全问题,没有意见
女,45岁以上,了解,堂食|外卖,价格实惠|口味多样|时间上便捷,几乎每天,几乎每天,几乎每天,几乎每天,20-30元|30-40元,生鲜超市|堂食门店,会，大品牌放心可靠。,知味观|正大|自嗨锅,菜品种类问题|食品安全问题,无
女,18-25岁,不了解,外卖|买菜做饭,价格实惠|干净卫生|时间上便捷,几乎每天,约一个礼拜一次,约一个月一次,几乎每天,30-40元,电商平台|堂食门店,会，大品牌放心可靠。,正大|自嗨锅|海底捞,菜品种类问题|食品安全问题,好的，谢谢
男,26-35岁,了解,堂食|外卖,价格实惠|口味多样,约一个月一次,约一个礼拜一次,约一个月一次,约一个月一次,10-20元|20-30元,生鲜超市|电商平台,会，大品牌放心可靠。,知味观|正大,价格问题|菜品种类问题,无
女,18-25岁,不了解,堂食|外卖|预制菜|买菜做饭,价格实惠|口味多样|干净卫生|时间上便捷,约一个月一次,约一个月一次,约一个礼拜一次,约一个月一次,20-30元,生鲜超市|电商平台|堂食门店,不会，更注重口味。,正大|自嗨锅|西贝,价格问题|菜品种类问题|食品安全问题,普及更多
女,26-35岁,不了解,打包自提,干净卫生,约一个礼拜一次,约一个礼拜一次,约一个礼拜一次,约一个礼拜一次,20-30元,电商平台,不会，更注重口味。,知味观,价格问题,无
男,18-25岁,不了解,堂食,地点上方便,约一个礼拜一次,几乎不,几乎不,约一个礼拜一次,40元及以上,生鲜超市,会，大品牌放心可靠。,正大,菜品种类问题,无
男,18-25岁,了解,堂食|打包自提,口味多样|干净卫生,约一个礼拜一次,约一个礼拜一次,约一个月一次,约一个月一次,20-30元|30-40元,电商平台|堂食门店,会，大品牌放心可靠。,正大|西贝,菜品种类问题,希望越来越好
男,36-45岁,不了解,堂食|打包自提,价格实惠|口味多样,几乎每天,约一个礼拜一次,约一个礼拜一次,几乎每天,10-20元,生鲜超市,会，大品牌放心可靠。,知味观|自嗨锅,价格问题|菜品种类问题,无
男,26-35岁,了解,打包自提|预制菜,干净卫生|地点上方便,约一个礼拜一次,约一个礼拜一次,约一个月一次,几乎每天,20-30元|30-40元,电商平台|堂食门店,会，大品牌放心可靠。,正大|西贝|京东生鲜,菜品种类问题|食品安全问题,没有
男,36-45岁,不了解,堂食|打包自提|买菜做饭,口味多样|地点上方便|时间上便捷,几乎每天,约一个礼拜一次,几乎每天,约一个礼拜一次,20-30元,生鲜超市|电商平台|堂食门店,会，大品牌放心可靠。,正大|自嗨锅|京东生鲜|海底捞,价格问题|菜品种类问题|食品安全问题,质量保证，价格适宜
男,18-25岁,不了解,堂食|打包自提|买菜做饭,价格实惠|干净卫生|时间上便捷,约一个月一次,约一个月一次,约一个月一次,约一个礼拜一次,20-30元|30-40元,生鲜超市|电商平台|熟食店,会，大品牌放心可靠。,正大|自嗨锅|海底捞,价格问题|菜品种类问题|食品安全问题,食物安全问题要得到保障
女,18-25岁,不了解,外卖,干净卫生,几乎不,约一个礼拜一次,约一个月一次,约一个礼拜一次,20-30元,堂食门店,不会，更注重口味。,正大,菜品种类问题,好
女,18-25岁,不了解,外卖,时间上便捷,约一个礼拜一次,约一个月一次,几乎每天,约一个礼拜一次,30-40元,堂食门店,不会，更注重口味。,自嗨锅,食品安全问题,无
男,18岁以下,了解,外卖|打包自提,口味多样|干净卫生,约一个礼拜一次,约一个月一次,几乎每天,约一个礼拜一次,20-30元,堂食门店,会，大品牌放心可靠。,正大|自嗨锅,价格问题|菜品种类问题,1111
男,26-35岁,了解,买菜做饭,价格实惠|干净卫生,约一个礼拜一次,约一个月一次,约一个礼拜一次,几乎不,10-20元,生鲜超市,会，大品牌放心可靠。,正大|自嗨锅|海底捞,价格问题|菜品种类问题|食品安全问题,无
男,26-35岁,了解,打包自提|预制菜,口味多样|地点上方便,约一个礼拜一次,约一个礼拜一次,几乎每天,约一个礼拜一次,20-30元|30-40元,生鲜超市|电商平台,会，大品牌放心可靠。,知味观|正大|自嗨锅,价格问题|菜品种类问题|食品安全问题,没有
女,26-35岁,了解,堂食|外卖,价格实惠|口味多样,几乎每天,几乎每天,几乎每天,几乎每天,20-30元|30-40元,电商平台|堂食门店,会，大品牌放心可靠。,知味观|正大,价格问题|菜品种类问题,无
女,26-35岁,不了解,堂食|外卖,口味多样|干净卫生,约一个礼拜一次,约一个礼拜一次,约一个礼拜一次,约一个月一次,20-30元|30-40元,生鲜超市|堂食门店,会，大品牌放心可靠。,正大|自嗨锅,菜品种类问题|食品安全问题,无
女,18-25岁,不了解,堂食|打包自提|预制菜|买菜做饭,价格实惠|口味多样|干净卫生|地点上方便,约一个礼拜一次,约一个月一次,约一个月一次,约一个礼拜一次,20-30元,电商平台|堂食门店,会，大品牌放心可靠。,正大|西贝|京东生鲜,价格问题|菜品种类问题|食品安全问题,无
男,36-45岁,不了解,堂食,价格实惠|干净卫生,约一个月一次,几乎不,几乎不,几乎不,20-30元,生鲜超市,会，大品牌放心可靠。,其他:无,菜品种类问题,口味提升
男,18-25岁,了解,外卖|打包自提,口味多样|干净卫生,约一个礼拜一次,约一个月一次,约一个礼拜一次,约一个礼拜一次,30-40元,电商平台,会，大品牌放心可靠。,正大|自嗨锅,菜品种类问题|食品安全问题,无
男,26-35岁,不了解,买菜做饭,价格实惠|口味多样|干净卫生,约一个月一次,约一个礼拜一次,约一个礼拜一次,几乎不,20-30元,生鲜超市,会，大品牌放心可靠。,正大|自嗨锅,价格问题|菜品种类问题|食品安全问题|购买配送问题,无
男,26-35岁,不了解,堂食|买菜做饭,干净卫生,几乎不,几乎不,几乎不,几乎不,20-30元,生鲜超市|电商平台,会，大品牌放心可靠。,正大,价格问题|菜品种类问题|食品安全问题,必须要安全
女,26-35岁,了解,堂食|打包自提,价格实惠|口味多样,几乎每天,几乎每天,几乎每天,几乎每天,20-30元,生鲜超市|电商平台,会，大品牌放心可靠。,知味观|正大|自嗨锅,价格问题|菜品种类问题,保证菜的新鲜
男,18-25岁,不了解,堂食|外卖|买菜做饭,口味多样|干净卫生,约一个月一次,约一个礼拜一次,约一个月一次,约一个月一次,20-30元,生鲜超市,不会，更注重口味。,正大|西贝,菜品种类问题,无
女,26-35岁,了解,堂食|外卖|打包自提,价格实惠|口味多样|地点上方便,几乎每天,约一个月一次,约一个礼拜一次,约一个礼拜一次,20-30元,电商平台|堂食门店,会，大品牌放心可靠。,知味观|正大|自嗨锅,菜品种类问题|食品安全问题,无
男,26-35岁,了解,打包自提|买菜做饭,口味多样|干净卫生,约一个礼拜一次,几乎每天,约一个礼拜一次,约一个礼拜一次,10-20元|30-40元,生鲜超市|堂食门店,会，大品牌放心可靠。,正大|西贝,价格问题|食品安全问题,无
男,18岁以下,不了解,堂食,价格实惠,几乎每天,约一个月一次,几乎每天,约一个月一次,40元及以上,生鲜超市,不会，更注重口味。,知味观,价格问题,2
男,18-25岁,不了解,堂食|外卖,口味多样,约一个礼拜一次,约一个礼拜一次,约一个礼拜一次,约一个礼拜一次,20-30元,电商平台,会，大品牌放心可靠。,正大|自嗨锅,菜品种类问题|食品安全问题,更加丰富多彩
女,36-45岁,了解,打包自提|预制菜,干净卫生|地点上方便,约一个礼拜一次,约一个礼拜一次,约一个礼拜一次,约一个礼拜一次,30-40元,电商平台|堂食门店,会，大品牌放心可靠。,正大|自嗨锅,价格问题,没有
男,18-25岁,不了解,外卖,价格实惠|口味多样|干净卫生,约一个月一次,约一个月一次,约一个月一次,约一个月一次,20-30元,生鲜超市|电商平台|堂食门店,会，大品牌放心可靠。,知味观|正大|自嗨锅|京东生鲜|海底捞,价格问题|菜品种类问题|食品安全问题,无
女,18-25岁,了解,堂食|外卖|打包自提|买菜做饭|方便面类食物,价格实惠|口味多样|地点上方便|时间上便捷,几乎每天,几乎每天,几乎每天,几乎每天,20-30元,生鲜超市|堂食门店,会，大品牌放心可靠。,正大|自嗨锅|京东生鲜|海底捞,价格问题|菜品种类问题|食品安全问题|购买配送问题,大大改进
女,36-45岁,不了解,堂食|外卖|买菜做饭,价格实惠|口味多样|干净卫生,几乎每天,几乎每天,几乎每天,几乎每天,20-30元|30-40元,生鲜超市|电商平台,不会，更注重口味。,正大|西贝,价格问题|菜品种类问题,没有
女,18-25岁,不了解,堂食|外卖,价格实惠|干净卫生,约一个礼拜一次,约一个礼拜一次,约一个月一次,约一个礼拜一次,20-30元,电商平台,会，大品牌放心可靠。,正大|西贝,食品安全问题,wu
女,45岁以上,了解,堂食|买菜做饭,干净卫生,约一个月一次,约一个礼拜一次,几乎每天,约一个月一次,20-30元,生鲜超市|熟食店,会，大品牌放心可靠。,自嗨锅|海底捞,菜品种类问题|食品安全问题,绿色环保健康
男,18-25岁,了解,堂食|外卖|预制菜|买菜做饭|方便面类食物,价格实惠|口味多样|干净卫生|地点上方便|时间上便捷,约一个礼拜一次,约一个礼拜一次,约一个礼拜一次,约一个礼拜一次,20-30元,生鲜超市|电商平台,会，大品牌放心可靠。,正大|自嗨锅|海底捞,菜品种类问题|食品安全问题,没有
男,18-25岁,了解,外卖|打包自提,时间上便捷,约一个礼拜一次,约一个礼拜一次,几乎每天,几乎不,20-30元|30-40元,生鲜超市|熟食店,不会，更注重口味。,正大|自嗨锅,食品安全问题|购买配送问题,有没有国家标准，没有就赶紧制定
女,18-25岁,不了解,堂食|买菜做饭,干净卫生,几乎不,几乎不,几乎不,几乎不,10-20元|20-30元,生鲜超市|电商平台,不会，更注重口味。,知味观|正大,价格问题|食品安全问题,/
男,26-35岁,不了解,外卖|预制菜,价格实惠|口味多样|地点上方便,约一个礼拜一次,约一个礼拜一次,约一个礼拜一次,约一个礼拜一次,10-20元|20-30元|30-40元,生鲜超市|电商平台|熟食店,会，大品牌放心可靠。,知味观|自嗨锅|西贝,价格问题|菜品种类问题|食品安全问题,无
女,26-35岁,了解,堂食|外卖|预制菜|买菜做饭,价格实惠|口味多样|干净卫生|地点上方便|时间上便捷,约一个礼拜一次,约一个礼拜一次,约一个礼拜一次,几乎不,10-20元|20-30元|30-40元,生鲜超市|电商平台,会，大品牌放心可靠。,知味观|正大|自嗨锅|京东生鲜|海底捞,价格问题|菜品种类问题|食品安全问题|购买配送问题,严格
男,18-25岁,了解,外卖|预制菜,口味多样|地点上方便,几乎每天,约一个礼拜一次,约一个礼拜一次,几乎每天,20-30元|30-40元,电商平台|堂食门店,会，大品牌放心可靠。,自嗨锅|京东生鲜,菜品种类问题,健康最重要
女,18-25岁,不了解,预制菜,口味多样,几乎不,几乎每天,几乎不,约一个礼拜一次,20-30元,电商平台,不会，更注重口味。,正大,菜品种类问题,无
女,26-35岁,了解,堂食|打包自提|买菜做饭,口味多样|干净卫生,约一个礼拜一次,约一个礼拜一次,约一个月一次,几乎每天,30-40元,电商平台|堂食门店,会，大品牌放心可靠。,知味观|京东生鲜,菜品种类问题|食品安全问题,无
女,26-35岁,了解,外卖|预制菜|方便面类食物,口味多样|地点上方便,约一个礼拜一次,约一个礼拜一次,约一个月一次,约一个月一次,20-30元,电商平台,会，大品牌放心可靠。,正大|西贝,菜品种类问题|食品安全问题,没有
男,26-35岁,不了解,堂食|外卖|打包自提,口味多样|干净卫生,约一个礼拜一次,约一个礼拜一次,约一个礼拜一次,约一个礼拜一次,30-40元|40元及以上,生鲜超市|电商平台,会，大品牌放心可靠。,知味观|正大|自嗨锅,价格问题,无
女,26-35岁,了解,堂食|买菜做饭,口味多样|地点上方便,约一个月一次,约一个月一次,约一个礼拜一次,约一个礼拜一次,30-40元,生鲜超市,会，大品牌放心可靠。,正大|自嗨锅|京东生鲜|海底捞,菜品种类问题|食品安全问题,没有建议
女,26-35岁,了解,外卖|打包自提,口味多样|干净卫生,约一个礼拜一次,约一个礼拜一次,几乎每天,约一个礼拜一次,20-30元|30-40元,生鲜超市|电商平台,会，大品牌放心可靠。,正大|自嗨锅,菜品种类问题|食品安全问题,无
男,45岁以上,不了解,预制菜|买菜做饭|方便面类食物,口味多样|干净卫生|地点上方便,几乎不,几乎不,几乎不,几乎不,20-30元|30-40元,生鲜超市|电商平台|堂食门店|熟食店,会，大品牌放心可靠。,知味观|正大,价格问题|菜品种类问题|食品安全问题,的
女,26-35岁,了解,外卖|方便面类食物,价格实惠|时间上便捷,几乎每天,约一个礼拜一次,约一个礼拜一次,约一个礼拜一次,20-30元,生鲜超市|电商平台,会，大品牌放心可靠。,正大|自嗨锅|海底捞,菜品种类问题|食品安全问题,无
男,18-25岁,了解,堂食,口味多样|干净卫生,约一个礼拜一次,约一个礼拜一次,约一个礼拜一次,几乎每天,10-20元,生鲜超市|电商平台,不会，更注重口味。,正大|自嗨锅,菜品种类问题|食品安全问题,口味还得注重
女,18-25岁,不了解,堂食,价格实惠,几乎每天,几乎每天,约一个礼拜一次,几乎每天,20-30元,生鲜超市,不会，更注重口味。,知味观,购买配送问题,没有
女,26-35岁,了解,外卖|打包自提|预制菜,口味多样|干净卫生|地点上方便,约一个礼拜一次,约一个礼拜一次,约一个礼拜一次,约一个月一次,20-30元,电商平台|堂食门店,会，大品牌放心可靠。,正大|自嗨锅|西贝,菜品种类问题|食品安全问题,无
男,26-35岁,不了解,外卖|预制菜,口味多样|干净卫生,几乎不,约一个月一次,约一个月一次,约一个月一次,20-30元|30-40元,电商平台|堂食门店,会，大品牌放心可靠。,知味观|正大,菜品种类问题|食品安全问题,25
